Emotion,Text
neutral, tinge ?
joy,naktuk ka piancham ka va nghakhlel tak
sadness,ka thiannu ka va ral dawn mek ka va han lunggai tak em!!!
joy,it mitmeng chu ava mai tak em
fear,phone call pawimawh deuh ka nghak mek ka va han huphurh tak
sadness, ka hmu leh tawh dawn lo hi k va han lunngai tak em
anger,ka ball min vawm bo sak daih chu le .
sadness,mite chuan an nantna te chu an hlimna derin an thup si a.
joy,a pian tirha ta vawi khat nan ka thianna pa chuan hlimna  a fapa a pianin a hmu ve ta
fear,mi hlimna lakah chuan tuman thil dang an ti ngam silo a
anger, ka thil neih zawng zawng nen ka hua che !
sadness,ka thiannu kawi chu ava to tak em
sadness,ka rawn haw meuh chuan ka in chu a lo danglam vek tawh mai a
joy,ka pass dawn chiang lutuk
joy, that hlauh chu  I kal ang u hmiang .
sadness,thil hrilh tur che ka nei mahse ka nei a mahse ka phone a lo thi deih!
sadness, ava pawi ve doctor koh a ngai em ?
joy,hmangaih ka hmuh vawikhat hmuh na ah khan ka va hlim em
fear,thil hlauhawm tawn dawnin ka mur chum chum zel
anger,kan in biak a va trul ve !
fear, ka thianpa bike khal trak zia chu ka mur chum chum mai
sadness,ka va ngai dawn che ve
fear,mi va ti hlauthawng tak ka ek ka cheh trep alawm
joy,ka va hlim tak ka puak dawin ka hria
sadness,ka pa nen chaun zanriah kan ei dawn anih hmel
joy,sikul tha deuhah ka lut dawn
joy, inhmuh lohna a va rei ve I dam maw
fear,ka thrianpa hian thil mak deuh deuh sawi a va ching tak
sadness,tuman an ringlo chu ava pawi em .
fear,k thianpa thil tih tum chu k va hlauh thawng pui e aw
joy,B.A ka pass
sadness,ka chuanve an phallo
anger,min ti phu alawm le
sadness,december kan thleng leh ta der mai a
joy,he khawvel ami hi ka nilo a rawn ti thut mai chuleh
anger,hah deuha hnathawh laia mi awm mai mai hmuh chu .
fear,ka pa ka chan dawn emaw ka tia lawm le
sadness,thil enkim a dik ve amaw tih laia
anger,ka pa ten kalve an phal lo an va han sual tak e aw
fear, chunngkaw tha tak neihloh hi chu a va pawi tak em
sadness,kan chak lo
joy,ka college duhna ah ka lut thei dawn ka va lawm tak
anger,thilsual tiah min mawhpuh chu le
joy,thil chhiar tuk ka nei bik.
joy,pass chhuah lawmna ah ka kal dawn
fear,thilnung an sawisak dan chu leh ka ngaih ava tha lo tak
fear,thil sa deuh ka in a ngai dawn
sadness, thil tih tur ka va ngah em em ve le
sadness, ka tui deuhna a chhe deih alawm le
sadness,vawinah ka thianpa ka chan hlauh mai
fear,kan team chu kan chhakloh ka va hlau ve
fear,hlauthawng
sadness,vawin chu biak tur ka va duh tak em 
sadness,kan zirtir tu ka chhan hlauh mai a
fear,vawin chu eng tak thleng ang maw
neutral,dawr ka kal dawn
joy, tunlai ka va fit ve
joy,christmas present tur kan lei treuh mai
neutral,ka sam a buang tih ka theihnghil trep alawm le
fear,father an k bialpa chungchang a hre chhuakhlauh mai
fear,tu mah tello loa kal chu ka va huphurh tak em
fear,silai in a kap thut mai a
neutral, thian tha tak ka nei alawm
fear,engtin nge ka tih dawn
joy,a va tui tak
joy,a hlim ngat ang
fear,kan flim en chu a va den ve
joy,the homewaork k zo ta
fear,ui in min han um vak mai chu
neutral, a chang changin 
anger,mei khu chu k va ning vee
fear,a tet laia k hlauh thin zia kh
fear,pa ka hlau .
joy,naktuk ka va nhakhlel ve
anger,ka thinrim
anger,a thinrim na in sum hram hram in ka tha e tiin a chhang
joy,thil ti zo vat vat the ang
fear,police in min ko thut alwm le
fear,a rawn kal thut mai
sadness,oi k rei
anger,a va thinrim ve
sadness,e khai aw a
anger,k thil pek ah lawmna chang pawh I hriatloh chu le
anger,tunge ka thil ru che u
joy,ava zai thiam tak em
fear,min va ti hlauthawng tak
anger,buaina a arawn thleng thut thut mai a.
sadness,a thiante mit meng atrang chuan a hrethiam mai. 
joy,lawmna chauh ka nei 
anger,ava meng rum ve. 
sadness, ka va lunggai tak em 
joy,naktuk sermon chu ka nghakhlel khawp mai
joy,hlimna chu pathian in min ka pe hmem tak em
fear,min ti phu a lawm le
joy,zing thawh nuam le!
fear,zanin chu ka va hlau ve
anger, an va bengchheng e aw
joy,kha nu kha alo kal hlauh mai a
sadness,kan va chak teuh si em
joy,an thil puan chu ava tha ve.
fear,ka pass angem le
joy,thiante nen kan in tawng hlawl mai
sadness, ava pawi thin em.
fear,a rawn kal angem le aw
joy,naktuk kua a tha nagwt ang .
neutral, e?
sadness,thlalak ka thlir vawng vawng mai
fear,motor chu ava tlan chak e aw
sadness,a hmai a sen tawn tawn mai
sadness,mahni chiah in ka awm
joy,ava lam thiam tak.
anger,kha pa min tih dan chu leh
anger,a thil an lo tihchhiat sak
joy,pathian  hla ngaihthlak hi a va nuam ve 
sadness,ka ui a thi hlauh mai.
anger, min phatsan kha
sadness,mut pawh ka mu hman meuh lo:(
joy,hna thawh tur ka hmu hlauh mai
neutral, engmah
fear,ka mut laiin ka inah tu emaw an rawn lut thut mai chu
