text,emotion
ꯍꯧꯖꯤꯛ ꯑꯩ ꯌꯥꯝꯅ ꯄꯥꯛꯅꯔꯤ,angry
ꯑꯩ ꯃꯥꯡꯂꯤ ꯑꯗꯨ,fear
ꯑꯩ ꯌꯥꯝꯅ ꯁꯨꯡꯅꯤ ꯍꯥꯏ,sad
ꯑꯩ ꯃꯥꯡꯍꯟꯂꯤ ꯑꯗꯨ,angry
ꯍꯧꯖꯤꯛ ꯃꯍꯥꯛ ꯑꯗꯨ ꯍꯥꯏꯔꯤ,fear
ꯍꯧꯖꯤꯛ ꯑꯩ ꯑꯇꯣꯞꯄ ꯍꯥꯏꯔꯤ,fear
ꯑꯩ ꯅꯨꯡꯉꯥꯏꯅ ꯂꯩꯔꯤ ꯑꯣ,happy
ꯑꯩ ꯃꯃꯥꯡ ꯅꯨꯡꯉꯥꯏ ꯍꯥꯏ,happy
ꯑꯩ ꯑꯇꯣꯞꯄ ꯍꯥꯏꯔꯤ ꯑꯣ,fear
ꯑꯩ ꯊꯥꯛꯂꯤ,tired
ꯑꯩ ꯃꯤꯑꯣꯏꯕ ꯑꯣꯏꯔꯤ ꯑꯣ,proud
ꯑꯩ ꯃꯥꯡꯍꯟꯂꯤ,angry
ꯑꯩ ꯋꯥꯍꯩ ꯂꯩꯔꯤ ꯑꯗꯨ,calm
ꯑꯩ ꯊꯧꯔꯥꯡ ꯊꯥꯛꯂꯤ ꯍꯥꯏ,tired
ꯑꯩ ꯅꯨꯡꯉꯥꯏꯗꯅ ꯂꯩꯔꯤ ꯑꯣ,calm
ꯑꯩ ꯑꯇꯣꯞꯄ ꯍꯥꯏꯔꯤ ꯑꯣ,fear
ꯑꯩ ꯈꯨꯗꯣꯡꯆꯥꯕꯅꯤ ꯑꯣ,angry
ꯑꯩ ꯃꯃꯥꯡ ꯊꯥꯛꯂꯤ ꯑꯣ,tired
ꯑꯩ ꯈꯨꯗꯣꯡꯆꯥꯕꯅꯤ ꯍꯥꯏ,angry
ꯑꯩ ꯆꯠꯅ ꯉꯝꯗ꯭ꯔꯤ ꯑꯣ,fear
ꯑꯩ ꯍꯥꯏꯇꯕ ꯂꯩꯔꯤ,calm
ꯑꯩ ꯑꯣꯏꯅ ꯁꯨꯡꯂꯤ ꯑꯣ,sad
ꯑꯩ ꯋꯥꯍꯩ ꯂꯩꯔꯤ ꯍꯥꯏ,calm
ꯑꯩ ꯊꯥꯛꯂꯤ,tired
ꯑꯩ ꯌꯥꯝꯅ ꯍꯥꯏꯔꯤ ꯍꯥꯏ,fear
ꯑꯩ ꯈꯨꯗꯣꯡꯆꯥꯕꯅꯤ ꯑꯣ,angry
ꯑꯩ ꯌꯦꯡꯂꯕꯗ ꯑꯉꯥꯡꯕꯅꯤ,surprise
ꯑꯩ ꯊꯥꯛꯂꯤ ꯑꯣ,tired
ꯍꯧꯖꯤꯛ ꯑꯩ ꯋꯥꯔꯦꯞ ꯇꯧꯔꯤ,happy
ꯑꯩ ꯂꯥꯛꯂꯕꯗ ꯊꯥꯛꯂꯤ ꯍꯥꯏ,tired
ꯃꯁꯤ ꯑꯗꯨ ꯑꯉꯥꯡꯕꯅꯤ,surprise
ꯍꯧꯖꯤꯛ ꯑꯩ ꯆꯠꯅ ꯉꯝꯗ꯭ꯔꯤ,fear
ꯑꯩ ꯅꯣꯡꯃꯥꯏ,tired
ꯍꯧꯖꯤꯛ ꯑꯩ ꯌꯥꯝꯅ ꯄꯥꯛꯅꯔꯤ,angry
ꯑꯩ ꯅꯨꯡꯉꯥꯏꯅ ꯄꯥꯝꯂꯤ ꯑꯣ,proud
ꯑꯩ ꯌꯦꯡꯂꯕꯗ ꯑꯉꯥꯡꯕꯅꯤ ꯑꯗꯨ,surprise
ꯑꯩ ꯑꯃꯨꯛꯇ ꯂꯩꯔꯤ ꯑꯗꯨ,lonely
ꯑꯩ ꯌꯥꯝꯅ ꯁꯨꯡꯅꯤ ꯑꯗꯨ,sad
ꯑꯩ ꯈꯨꯗꯣꯡꯆꯥꯕꯅꯤ ꯍꯥꯏ,angry
ꯍꯧꯖꯤꯛ ꯑꯩ ꯃꯤꯑꯣꯏꯕ ꯑꯣꯏꯔꯤ,proud
ꯑꯩ ꯅꯨꯡꯉꯥꯏꯅ ꯄꯥꯝꯂꯤ,proud
ꯑꯩ ꯃꯃꯥꯡ ꯊꯥꯛꯂꯤ,tired
ꯑꯩ ꯋꯥꯔꯦꯞ ꯂꯩꯔꯤ ꯑꯣ,excited
ꯑꯩ ꯊꯧꯔꯥꯡ ꯊꯥꯛꯂꯤ ꯑꯣ,tired
ꯑꯩ ꯑꯦꯛꯂꯧ ꯂꯩꯔꯤ ꯑꯣ,lonely
ꯍꯧꯖꯤꯛ ꯑꯩ ꯅꯨꯡꯉꯥꯏꯅ ꯂꯩꯔꯤ,happy
ꯍꯧꯖꯤꯛ ꯑꯩ ꯋꯥꯔꯦꯞꯄꯅꯤ,excited
ꯑꯩ ꯍꯥꯏꯇꯕ ꯂꯩꯔꯤ,calm
ꯍꯧꯖꯤꯛ ꯑꯩ ꯅꯣꯡꯃꯥꯏ,tired
ꯑꯩ ꯊꯧꯔꯥꯡ ꯊꯥꯛꯂꯤ,tired
ꯍꯧꯖꯤꯛ ꯃꯁꯤ ꯑꯗꯨ ꯑꯉꯥꯡꯕꯅꯤ,surprise
ꯑꯩ ꯈꯣꯡꯅꯔꯤ ꯑꯗꯨ,lonely
ꯑꯩ ꯅꯨꯡꯉꯥꯏꯗꯅ ꯂꯩꯔꯤ,calm
ꯑꯩ ꯃꯤꯑꯣꯏꯕ ꯑꯣꯏꯔꯤ ꯑꯣ,proud
ꯑꯩ ꯃꯃꯥꯡ ꯅꯨꯡꯉꯥꯏ,happy
ꯑꯩ ꯑꯇꯣꯞꯄ ꯍꯥꯏꯔꯤ ꯑꯗꯨ,fear
ꯃꯁꯤ ꯌꯥꯝꯅ ꯑꯉꯥꯡꯕꯅꯤ ꯑꯣ,surprise
ꯑꯩ ꯑꯉꯥꯡꯕꯅꯤ ꯑꯣ,surprise
ꯑꯩ ꯍꯧꯖꯤꯛ ꯑꯉꯥꯡꯕꯅꯤ ꯑꯗꯨ,surprise
ꯍꯧꯖꯤꯛ ꯑꯩ ꯅꯨꯡꯉꯥꯏꯅ ꯆꯠꯂꯤ,excited
ꯑꯩ ꯈꯣꯡꯅꯔꯤ,sad
ꯑꯩ ꯍꯥꯏꯇꯕ ꯂꯩꯔꯤ,calm
ꯍꯧꯖꯤꯛ ꯑꯩ ꯃꯃꯥꯡ ꯊꯥꯛꯂꯤ,tired
ꯑꯩ ꯅꯤꯡꯇꯝ ꯇꯧꯔꯤ ꯍꯥꯏ,sad
ꯍꯧꯖꯤꯛ ꯑꯩ ꯈꯨꯗꯣꯡꯆꯥꯕꯅꯤ,angry
ꯑꯩ ꯃꯃꯥꯡ ꯅꯨꯡꯉꯥꯏ ꯑꯗꯨ,happy
ꯑꯩ ꯋꯥꯍꯩ ꯂꯩꯔꯤ ꯑꯗꯨ,calm
ꯑꯩ ꯃꯄꯥꯟ ꯐꯪꯂꯤ ꯑꯗꯨ,proud
ꯑꯩ ꯈꯨꯗꯣꯡꯆꯥꯕꯅꯤ ꯑꯣ,angry
ꯍꯧꯖꯤꯛ ꯃꯍꯥꯛ ꯑꯗꯨ ꯍꯥꯏꯔꯤ,fear
ꯍꯧꯖꯤꯛ ꯑꯩ ꯑꯥꯡꯉꯥꯡ ꯇꯧꯔꯤ,sad
ꯑꯩ ꯂꯥꯛꯂꯕꯗ ꯊꯥꯛꯂꯤ,tired
ꯑꯩ ꯍꯥꯏꯇꯕ ꯂꯩꯔꯤ ꯍꯥꯏ,calm
ꯑꯩ ꯃꯥꯡꯂꯤ,fear
ꯑꯩ ꯋꯥꯍꯩ ꯂꯩꯔꯤ ꯑꯗꯨ,calm
ꯑꯩ ꯑꯣꯏꯅ ꯁꯨꯡꯂꯤ,sad
ꯍꯧꯖꯤꯛ ꯃꯍꯥꯛ ꯑꯗꯨ ꯍꯥꯏꯔꯤ,fear
ꯍꯧꯖꯤꯛ ꯑꯩ ꯃꯃꯥꯡ ꯊꯥꯛꯂꯤ,tired
ꯑꯩ ꯋꯥꯔꯦꯞꯄꯅꯤ ꯍꯥꯏ,excited
ꯃꯍꯥꯛ ꯑꯗꯨ ꯍꯥꯏꯔꯤ ꯑꯗꯨ,fear
ꯑꯩ ꯑꯦꯛꯂꯧ ꯂꯩꯔꯤ ꯑꯗꯨ,lonely
ꯍꯧꯖꯤꯛ ꯑꯩ ꯈꯣꯡꯅꯔꯤ,sad
ꯑꯩ ꯍꯥꯏꯇꯕ ꯂꯩꯔꯤ ꯑꯗꯨ,calm
ꯑꯩ ꯑꯉꯥꯡꯕꯅꯤ,surprise
ꯑꯩ ꯊꯥꯛꯂꯤ ꯍꯥꯏ,tired
ꯍꯧꯖꯤꯛ ꯑꯩ ꯃꯤꯑꯣꯏꯕ ꯑꯣꯏꯔꯤ,proud
ꯃꯍꯥꯛ ꯑꯗꯨ ꯍꯥꯏꯔꯤ ꯑꯣ,fear
ꯃꯁꯤ ꯌꯥꯝꯅ ꯑꯉꯥꯡꯕꯅꯤ ꯑꯗꯨ,surprise
ꯑꯩ ꯈꯨꯗꯣꯡꯆꯥꯕꯅꯤ,angry
ꯑꯩ ꯍꯥꯏꯇꯕ ꯂꯩꯔꯤ ꯑꯣ,calm
ꯍꯧꯖꯤꯛ ꯑꯩ ꯅꯨꯡꯉꯥꯏꯅ ꯄꯥꯝꯂꯤ,proud
ꯑꯩ ꯍꯧꯖꯤꯛ ꯋꯥꯔꯦꯞ ꯇꯧꯔꯤ,excited
ꯑꯩ ꯋꯥꯍꯩ ꯂꯩꯔꯤ ꯍꯥꯏ,calm
ꯑꯩ ꯑꯉꯥꯡꯕꯅꯤ ꯑꯣ,surprise
ꯑꯩ ꯅꯨꯡꯉꯥꯏꯅ ꯆꯠꯂꯤ ꯑꯗꯨ,excited
ꯑꯩ ꯅꯣꯡꯃꯥꯏ ꯑꯣ,tired
ꯑꯩ ꯃꯤꯑꯣꯏꯕ ꯑꯣꯏꯔꯤ ꯍꯥꯏ,proud
ꯑꯩ ꯊꯥꯛꯂꯤ,tired
ꯑꯩ ꯅꯨꯡꯉꯥꯏꯅ ꯂꯩꯔꯤ ꯑꯗꯨ,happy
ꯑꯩ ꯅꯨꯡꯉꯥꯏꯅ ꯆꯠꯂꯤ ꯍꯥꯏ,excited
ꯑꯩ ꯑꯣꯏꯅ ꯄꯥꯝꯂꯤ ꯍꯥꯏ,happy
ꯑꯩ ꯑꯍꯥꯅꯕ ꯐꯪꯂꯤ ꯍꯥꯏ,excited
ꯑꯩ ꯃꯤꯇ ꯄꯥꯛꯈꯤ,angry
ꯑꯩ ꯅꯨꯡꯉꯥꯏꯅ ꯂꯩꯔꯤ ꯍꯥꯏ,happy
ꯑꯩ ꯃꯤ ꯂꯩꯇꯦ,lonely
ꯑꯩ ꯍꯥꯏꯇꯕ ꯂꯩꯔꯤ ꯑꯣ,calm
ꯑꯩ ꯑꯥꯡꯉꯥꯡ ꯇꯧꯔꯤ ꯑꯣ,sad
ꯑꯩ ꯈꯨꯗꯣꯡꯆꯥꯕꯅꯤ ꯑꯣ,angry
